year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_iso_raw,home_team_name,away_team_iso_raw,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2,match_country_name,home_team_iso,away_team_iso,host_country_iso,neutral_venue,host_team_iso,time_weight
1958,WC-1958,M-1958-16,1958-06-12,group stage,Group 3,0,SWE,Sweden,HUN,Hungary,2,1,0,0,0,0,H,Sweden,SWE,HUN,SWE,False,SWE,0.04076220397836621
1958,WC-1958,M-1958-17,1958-06-15,group stage,Group 3,0,SWE,Sweden,WAL,Wales,0,0,0,0,0,0,D,Sweden,SWE,WAL,SWE,False,SWE,0.04076220397836621
1958,WC-1958,M-1958-18,1958-06-15,group stage,Group 1,0,CSK,Czechoslovakia,ARG,Argentina,6,1,0,0,0,0,H,Sweden,CZE,ARG,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-19,1958-06-15,group stage,Group 1,0,DEU,West Germany,NIR,Northern Ireland,2,2,0,0,0,0,D,Sweden,DEU,NIR,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-20,1958-06-15,group stage,Group 2,0,FRA,France,SCO,Scotland,2,1,0,0,0,0,H,Sweden,FRA,SCO,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-21,1958-06-15,group stage,Group 2,0,PRY,Paraguay,YUG,Yugoslavia,3,3,0,0,0,0,D,Sweden,PRY,YUG,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-22,1958-06-15,group stage,Group 3,0,HUN,Hungary,MEX,Mexico,4,0,0,0,0,0,H,Sweden,HUN,MEX,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-23,1958-06-15,group stage,Group 4,0,BRA,Brazil,SUN,Soviet Union,2,0,0,0,0,0,H,Sweden,BRA,SUN,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-24,1958-06-15,group stage,Group 4,0,ENG,England,AUT,Austria,2,2,0,0,0,0,D,Sweden,ENG,AUT,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-25,1958-06-17,group stage,Group 1,0,NIR,Northern Ireland,CSK,Czechoslovakia,2,1,1,0,0,0,H,Sweden,NIR,CZE,SWE,True,,0.04076220397836621
1958,WC-1958,M-1958-26,1958-06-17,group stage,Group 3,0,WAL,Wales,HUN,Hungary,2,1,0,0,0,0,H,Sweden,WAL,HUN,SWE,True,,0.04076220397836621
