year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_code,home_team_name,away_team_code,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2
1994,WC-1994,M-1994-45,1994-07-09,quarter-finals,not applicable,1,ITA,Italy,ESP,Spain,2,1,0,0,0,0,H
1994,WC-1994,M-1994-46,1994-07-09,quarter-finals,not applicable,1,NLD,Netherlands,BRA,Brazil,2,3,0,0,0,0,A
1994,WC-1994,M-1994-47,1994-07-10,quarter-finals,not applicable,1,BGR,Bulgaria,DEU,Germany,2,1,0,0,0,0,H
1994,WC-1994,M-1994-48,1994-07-10,quarter-finals,not applicable,1,ROU,Romania,SWE,Sweden,2,2,1,1,4,5,D
1994,WC-1994,M-1994-49,1994-07-13,semi-finals,not applicable,1,BGR,Bulgaria,ITA,Italy,1,2,0,0,0,0,A
1994,WC-1994,M-1994-50,1994-07-13,semi-finals,not applicable,1,SWE,Sweden,BRA,Brazil,0,1,0,0,0,0,A
1994,WC-1994,M-1994-51,1994-07-16,third-place match,not applicable,1,SWE,Sweden,BGR,Bulgaria,4,0,0,0,0,0,H
1994,WC-1994,M-1994-52,1994-07-17,final,not applicable,1,BRA,Brazil,ITA,Italy,0,0,1,1,3,2,D
1998,WC-1998,M-1998-01,1998-06-10,group stage,Group A,0,BRA,Brazil,SCO,Scotland,2,1,0,0,0,0,H
1998,WC-1998,M-1998-02,1998-06-10,group stage,Group A,0,MAR,Morocco,NOR,Norway,2,2,0,0,0,0,D
1998,WC-1998,M-1998-03,1998-06-11,group stage,Group B,0,ITA,Italy,CHL,Chile,2,2,0,0,0,0,D
1998,WC-1998,M-1998-04,1998-06-11,group stage,Group B,0,CMR,Cameroon,AUT,Austria,1,1,0,0,0,0,D
1998,WC-1998,M-1998-05,1998-06-12,group stage,Group D,0,PRY,Paraguay,BGR,Bulgaria,0,0,0,0,0,0,D
1998,WC-1998,M-1998-06,1998-06-12,group stage,Group C,0,SAU,Saudi Arabia,DNK,Denmark,0,1,0,0,0,0,A
1998,WC-1998,M-1998-07,1998-06-12,group stage,Group C,0,FRA,France,ZAF,South Africa,3,0,0,0,0,0,H
1998,WC-1998,M-1998-08,1998-06-13,group stage,Group D,0,ESP,Spain,NGA,Nigeria,2,3,0,0,0,0,A
1998,WC-1998,M-1998-09,1998-06-13,group stage,Group E,0,KOR,South Korea,MEX,Mexico,1,3,0,0,0,0,A
1998,WC-1998,M-1998-10,1998-06-13,group stage,Group E,0,NLD,Netherlands,BEL,Belgium,0,0,0,0,0,0,D
1998,WC-1998,M-1998-11,1998-06-14,group stage,Group H,0,ARG,Argentina,JPN,Japan,1,0,0,0,0,0,H
1998,WC-1998,M-1998-12,1998-06-14,group stage,Group F,0,YUG,Yugoslavia,IRN,Iran,1,0,0,0,0,0,H
1998,WC-1998,M-1998-13,1998-06-14,group stage,Group H,0,JAM,Jamaica,HRV,Croatia,1,3,0,0,0,0,A
1998,WC-1998,M-1998-14,1998-06-15,group stage,Group G,0,ENG,England,TUN,Tunisia,2,0,0,0,0,0,H
1998,WC-1998,M-1998-15,1998-06-15,group stage,Group G,0,ROU,Romania,COL,Colombia,1,0,0,0,0,0,H
1998,WC-1998,M-1998-16,1998-06-15,group stage,Group F,0,DEU,Germany,USA,United States,2,0,0,0,0,0,H
1998,WC-1998,M-1998-17,1998-06-16,group stage,Group A,0,SCO,Scotland,NOR,Norway,1,1,0,0,0,0,D
1998,WC-1998,M-1998-18,1998-06-16,group stage,Group A,0,BRA,Brazil,MAR,Morocco,3,0,0,0,0,0,H
1998,WC-1998,M-1998-19,1998-06-17,group stage,Group B,0,CHL,Chile,AUT,Austria,1,1,0,0,0,0,D
1998,WC-1998,M-1998-20,1998-06-17,group stage,Group B,0,ITA,Italy,CMR,Cameroon,3,0,0,0,0,0,H
1998,WC-1998,M-1998-21,1998-06-18,group stage,Group C,0,ZAF,South Africa,DNK,Denmark,1,1,0,0,0,0,D
1998,WC-1998,M-1998-22,1998-06-18,group stage,Group C,0,FRA,France,SAU,Saudi Arabia,4,0,0,0,0,0,H
